Name	City	Country	IATA	ICAO	Elev	
Riga International Airport	Riga	Latvia	RIX	EVRA	2	Europe/Riga
_iauliai International Airport	Siauliai	Lithuania	SQQ	EYSA	2	Europe/Vilnius
Barysiai Airport	Barysiai	Lithuania	HLJ	EYSB	2	Europe/Vilnius
Kaunas International Airport	Kaunas	Lithuania	KUN	EYKA	2	Europe/Vilnius
S. Darius and S. Gir_nas Airfield	Kaunas	Lithuania	\N	EYKS	2	Europe/Vilnius
Palanga International Airport	Palanga	Lithuania	PLQ	EYPA	2	Europe/Vilnius
Vilnius International Airport	Vilnius	Lithuania	VNO	EYVI	2	Europe/Vilnius
Panev__ys Air Base	Panevezys	Lithuania	PNV	EYPP	2	Europe/Vilnius
Erebuni Airport	Yerevan	Armenia	\N	UDYE	4	Asia/Yerevan
Stepanavan Airport	Stepanavan	Armenia	\N	UDLS	4	Asia/Yerevan
Zvartnots International Airport	Yerevan	Armenia	EVN	UDYZ	4	Asia/Yerevan
Gyumri Shirak Airport	Gyumri	Armenia	LWN	UDSG	4	Asia/Yerevan
Assab International Airport	Assab	Eritrea	ASA	HHSB	3	Africa/Asmera
Asmara International Airport	Asmara	Eritrea	ASM	HHAS	3	Africa/Asmera
Massawa International Airport	Massawa	Eritrea	MSW	HHMS	3	Africa/Asmera
Yasser Arafat International Airport	Gaza	Palestine	GZA	LVGZ	2	Asia/Gaza
Batumi International Airport	Batumi	Georgia	BUS	UGSB	4	Asia/Tbilisi
Kopitnari Airport	Kutaisi	Georgia	KUT	UGKO	4	Asia/Tbilisi
Tbilisi International Airport	Tbilisi	Georgia	TBS	UGTB	4	Asia/Tbilisi
Mukalla International Airport	Mukalla	Yemen	RIY	OYRN	3	Asia/Aden
Ta'izz International Airport	Taiz	Yemen	TAI	OYTZ	3	Asia/Aden
Hodeidah International Airport	Hodeidah	Yemen	HOD	OYHD	3	Asia/Aden
Aden International Airport	Aden	Yemen	ADE	OYAA	3	Asia/Aden
Ataq Airport	Ataq	Yemen	AXK	OYAT	3	Asia/Aden
Al Ghaidah International Airport	Al Ghaidah Intl	Yemen	AAY	OYGD	3	Asia/Aden
Sana'a International Airport	Sanaa	Yemen	SAH	OYSN	3	Asia/Aden
Beihan Airport	Beihan	Yemen	BHN	OYBN	3	Asia/Aden
Socotra International Airport	Socotra	Yemen	SCT	OYSQ	3	Asia/Aden
Al Badie Airport	Al Badie	Yemen	\N	OYBA	3	Asia/Aden
Memmingen Allgau Airport	Memmingen	Germany	FMM	EDJA	1	Europe/Berlin
Nev_ehir Kapadokya Airport	Nevsehir	Turkey	NAV	LTAZ	3	Europe/Istanbul
Ministro Pistarini International Airport	Buenos Aires	Argentina	EZE	SAEZ	-3	America/Buenos_Aires
Erbil International Airport	Erbil	Iraq	EBL	ORER	3	Asia/Baghdad
Emerald Airport	Emerald	Australia	EMD	YEML	10	Australia/Brisbane
Athen Helenikon Airport	Athens	Greece	HEW	LGAT	2	Europe/Athens
Kansai International Airport	Osaka	Japan	KIX	RJBB	9	Asia/Tokyo
Downtown-Manhattan/Wall St Heliport	New York	United States	JRB	KJRB	-5	America/New_York
Tagbilaran Airport	Tagbilaran	Philippines	TAG	RPVT	8	Asia/Manila
Ilulissat Airport	Ilulissat	Greenland	JAV	BGJN	-3	America/Godthab
Qasigiannguit Heliport	Qasigiannguit	Greenland	JCH	BGCH	-3	America/Godthab
Aasiaat Airport	Aasiaat	Greenland	JEG	BGAA	-3	America/Godthab
Palma De Mallorca Airport	Palma de Mallorca	Spain	PMI	LEPA	1	Europe/Madrid
Darwin International Airport	Darwin	Australia	DRW	YPDN	9.5	Australia/Darwin
